name,weight,Class,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A,Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid
돌나물흑임자샐러드,42.5,샐러드,46.407,1.1767,3.76652,2.51402,0.937,106.841,0.46226,61.738,32.1335,0.10908,0.111158,37.7965,1750.08662,190.68822
동부묵무침,43.5,샐러드,25.335,0.12305,0.9968,3.9618,0.0135,3.21,0.19455,129.52,0.375416667,0.00145,0.007235,0.13385,416.4615,5.5547
동초무침,41,샐러드,42.91,1.9165,3.0567,2.7148,1.568,94,0.7635,104.69,80.99500001,0.03922,0.09808,15.505,1239.6999,73.638
두부들깨무침,36,샐러드,60.1,3.5226,4.1756,2.0438,1.326,28.38,0.6844,96.3,0.073333333,0.01744,0.10276,0,1651.6164,622.0018
두부열무나물,59,샐러드,48.03,3.1378,3.2137,1.7451,1.134,64.63,0.9728,62.8,68.20083332,0.02189,0.09266,2.3119,1434.6593,141.5869
들깨무나물,40.2,샐러드,34.956,0.71541,2.81909,1.9233,0.6641,17.211,0.26864,33.084,0.55625,0.028421,0.026667,2.67752,944.85891,509.3783
땅콩우엉무침,28.2,샐러드,48.894,2.15616,2.4687,5.23657,1.4751,13.947,0.30124,97.078,0.022833333,0.009245,0.067832,0.122,922.4788,3.67658
마늘쫑무침,38,샐러드,25.398,0.76216,0.23306,6.65516,1.7287,19.275,0.2099,30.031,15.95416667,0.009666,0.037647,15.5295,92.4753,3.3756
마카로니샐러드,50,샐러드,99.75,2.2545,3.865,13.602,0.485,8.25,0.303,24.5,3.366666667,0.02585,0.02665,13.1985,1968.9145,297.288
마카로니오이샐러드,55,샐러드,100.45,2.3155,3.866,13.7545,0.52,9.15,0.313,24.65,3.620833333,0.02595,0.02835,13.761,1969.324,297.6285
마카로니채소샐러드,30.2,샐러드,95.147,2.0038,3.8541,12.4568,0.19,3.721,0.2662,58.343,23.97766667,0.02271,0.01492,0.7135,1965.9155,291.5775
마카로니채소샐러드(마요네즈),40,샐러드,63.4,2.11,0.084,13.0835,0.47,5.3,0.266,2,25.3125,0.0247,0.024,11.809,10.5235,4.9815
마카로니채소샐러드(토마토소스),30.2,샐러드,61.797,2.0533,0.0816,12.5603,0.245,3.621,0.2837,47.243,25.2485,0.02606,0.01652,0.7135,6.9605,1.0855
맛살양상추샐러드,50,샐러드,48.25,1.8445,2.4475,4.914,0.52,37.95,0.244,158.4,25.32083334,0.04715,0.02875,5.681,6.7315,1.6565
매쉬드포테이토,45.31,샐러드,66.9347,2.62213,3.94641,5.28463,0.81,68.7481,0.19055,195.2456,28.51776667,0.024911,0.034522,3.19,68.127,21.01
매콤숙주미나리무침,42,샐러드,14.39,0.87865,0.62195,1.8366,1.241,9.53,0.1708,25.825,14.29041667,0.027465,0.06736,2.539,273.36775,15.77945
매콤숙주오이무침,46.7,샐러드,21.417,0.87431,0.27234,4.56978,1.2655,10.024,0.20453,68.848,13.58108333,0.02227,0.077415,3.67107,144.63684,10.44012
매콤콩나물무침,36.6,샐러드,17.876,1.77876,0.75948,1.97916,0.9418,17.774,0.2918,10.078,6.358833333,0.04438,0.054916,0.6371,368.85042,44.98822
머위나물,38.5,샐러드,20.465,0.8538,1.54515,1.1179,0.971,37.16,0.407,31.58,85.06,0.004815,0.03331,0.9306,635.0598,36.0324
머윗대나물,38.7,샐러드,36.461,0.23436,1.53139,6.1272,0.0326,20.726,0.46114,121.884,5.435,0.012051,0.025462,2.54332,625.14526,8.3859
머윗대들깨나물,41.7,샐러드,52.361,0.91476,2.72359,7.005,0.6926,32.456,0.69334,121.914,5.5175,0.022641,0.048232,2.54332,780.32686,750.96
모둠쌈,30,샐러드,7.65,0.417,0.057,1.728,0.99,21,0.2805,6.6,13.1625,0.02175,0.05145,2.934,2.3325,4.557
모듬과일샐러드,50,샐러드,63.35,0.7985,4.2375,6.0465,0.8,18.4,0.143,28.05,10.22916667,0.01575,0.0331,5.106,1976.96,293.609
모듬버섯나물,33.8,샐러드,20.718,0.82132,1.5875,2.04403,0.8067,2.58,0.23953,31.586,0.361083333,0.039896,0.069594,0.21932,651.29831,8.55741
모듬채소겉절이,43,샐러드,24.9,0.8867,0.2157,5.5392,1.705,19.07,0.354,101.81,44.2925,0.02782,0.12719,2.9635,111.3709,11.0197
무나물,37.9,샐러드,24.001,0.24321,2.02964,1.2505,0.2221,10.006,0.18589,69.538,0.58125,0.021036,0.009877,2.66117,270.59046,1244.2297
무말랭이,19.4,샐러드,60.51,2.35413,0.67541,11.36286,4.4693,54.434,0.85722,141.263,3.287166667,0.091361,0.089341,9.23072,273.94556,15.25142
무말랭이무침,13,샐러드,42.91,1.3289,1.1054,7.0422,2.652,29.75,0.5249,72.37,6.990833333,0.0516,0.0669,5.0473,470.6478,14.935
무몰무침,38,샐러드,21.48,0.4704,1.1225,2.9672,0.527,27.91,0.3227,1.8,6.228333333,0.01902,0.03348,1.835,474.564,11.3923
